rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,ord,currency,thstrm_add_amount,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount,bfefrmtrm_nm,bfefrmtrm_amount,연결구분
20240814003065,11012,2024,00148540,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 72 기 반기말,48279086592000,제 71 기말,47203762893000,7,KRW,,,,,,,연결
20240814003065,11012,2024,00148540,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 72 기 반기말,13768487205000,제 71 기말,13668165559000,8,KRW,,,,,,,연결
20240814003065,11012,2024,00148540,BS,재무상태표,-표준계정코드 미사용-,생물자산,-,제 72 기 반기말,173851973000,제 71 기말,166975065000,9,KRW,,,,,,,연결
20240814003065,11012,2024,00148540,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 72 기 반기말,3271403572000,제 71 기말,3646474585000,10,KRW,,,,,,,연결
20240814003065,11012,2024,00148540,BS,재무상태표,ifrs-full_CurrentContractAssets,계약자산,-,제 72 기 반기말,400818373000,제 71 기말,297817857000,11,KRW,,,,,,,연결
20240814003065,11012,2024,00148540,BS,재무상태표,ifrs-full_CurrentDerivativeFinancialAssets,유동파생상품자산,-,제 72 기 반기말,164222364000,제 71 기말,52257239000,12,KRW,,,,,,,연결
20240814003065,11012,2024,00148540,BS,재무상태표,ifrs-full_CurrentFinancialAssetsAvailableforsale,유동공정가치금융자산,-,제 72 기 반기말,325441000,제 71 기말,5482343000,13,KRW,,,,,,,연결
20240814003065,11012,2024,00148540,BS,재무상태표,ifrs-full_CurrentTradeReceivables,매출채권,-,제 72 기 반기말,4211172691000,제 71 기말,4114768676000,14,KRW,,,,,,,연결
20240814003065,11012,2024,00148540,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 72 기 반기말,3381668400000,제 71 기말,3169893143000,15,KRW,,,,,,,연결
20240814003065,11012,2024,00148540,BS,재무상태표,ifrs-full_OtherCurrentAssets,기타유동자산,-,제 72 기 반기말,1000269458000,제 71 기말,936456088000,16,KRW,,,,,,,연결
20240814003065,11012,2024,00148540,BS,재무상태표,ifrs-full_OtherCurrentFinancialAssets,기타유동금융자산,-,제 72 기 반기말,1164754933000,제 71 기말,1278040563000,17,KRW,,,,,,,연결
20240814003065,11012,2024,00148540,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 72 기 반기말,33443591432000,제 71 기말,32619664568000,18,KRW,,,,,,,연결
20240814003065,11012,2024,00148540,BS,재무상태표,ifrs-full_IntangibleAssetsAndGoodwill,무형자산,-,제 72 기 반기말,8504889568000,제 71 기말,8143748728000,19,KRW,,,,,,,연결
20240814003065,11012,2024,00148540,BS,재무상태표,ifrs-full_InvestmentAccountedForUsingEquityMethod,공동기업및관계기업투자,-,제 72 기 반기말,2016934393000,제 71 기말,1934283353000,20,KRW,,,,,,,연결
20240814003065,11012,2024,00148540,BS,재무상태표,ifrs-full_InvestmentProperty,투자부동산,-,제 72 기 반기말,311759598000,제 71 기말,301672862000,21,KRW,,,,,,,연결
