,news_title,news_category,news_date,label,prob
0,"<유>인팩, 매도잔량 324% 급증",증권News봇,2023.03.30,positive,0.9946354031562805
1,"<유>인팩, 8.59% 오르며 체결강도 강세 지속(168%)",증권News봇,2023.03.30,positive,0.9998753070831299
2,"오전 9:30 현재 코스피는 49:51으로 매수우위, 매도강세 업종은 전기가스업(1.50%↑)",증권News봇,2023.03.20,neutral,0.9992647767066956
3,"오전 10:00 현재 코스피는 45:55으로 매수우위, 매도강세 업종은 전기가스업(2.14%↑)",증권News봇,2023.03.17,neutral,0.9984062314033508
4,"<유>인팩, 매도잔량 350% 급증",증권News봇,2023.03.09,positive,0.9982592463493347
5,"<유>덕양산업, 상한가 진입.. +30.00% ↑",증권News봇,2023.03.09,positive,0.9998714923858643
6,"<유>인팩, 매수잔량 372% 급증",증권News봇,2023.03.08,positive,0.999796450138092
7,"<유>인팩, 6.21% 오르며 체결강도 강세 지속(202%)",증권News봇,2023.03.08,positive,0.9998770952224731
8,"<유>인팩, 매도잔량 319% 급증",증권News봇,2023.02.21,positive,0.9976663589477539
9,"<유>인팩, 매수잔량 347% 급증",증권News봇,2023.02.20,positive,0.9998059868812561
10,"<유>인팩, 매수잔량 541% 급증",증권News봇,2023.02.17,positive,0.9997976422309875
11,"<유>인팩, 3.16% 오르며 체결강도 강세 지속(109%)",증권News봇,2023.02.17,positive,0.9998748302459717
12,"오후 1:00 현재 코스피는 49:51으로 매수우위, 매도강세 업종은 화학업(3.02%↑)",증권News봇,2023.02.16,neutral,0.9993327260017395
13,"오전 10:00 현재 코스피는 47:53으로 매수우위, 매도강세 업종은 건설업(1.21%↑)",증권News봇,2023.02.16,neutral,0.998829185962677
14,"<유>인팩, 매도잔량 751% 급증",증권News봇,2023.02.16,positive,0.9969889521598816
15,"오전 10:30 현재 코스피는 45:55으로 매수우위, 매도강세 업종은 전기전자업(0.88%↑)",증권News봇,2023.02.14,neutral,0.9961215853691101
16,"[개장 시황] 코스피 2471.33.. 외국인과 기관의 순매수에 상승 출발 (▲18.63, +0.76%)",증권News봇,2023.02.14,neutral,0.9999116659164429
17,"<유>태양금속우, 상한가 진입.. +29.86% ↑",증권News봇,2023.01.18,positive,0.999876856803894
