Date,DEXCHUS
2019-01-01,
2019-01-02,6.8597
2019-01-03,6.8708
2019-01-04,6.8663
2019-01-07,6.8501
2019-01-08,6.8519
2019-01-09,6.8117
2019-01-10,6.7875
2019-01-11,6.7596
2019-01-14,
2019-01-15,6.7595
2019-01-16,6.7532
2019-01-17,6.7735
2019-01-18,6.7765
2019-01-21,
2019-01-22,6.8072
2019-01-23,6.7897
2019-01-24,6.7835
2019-01-25,6.7448
2019-01-28,6.7437
2019-01-29,6.7304
2019-01-30,6.7115
2019-01-31,6.6958
2019-02-01,6.7426
2019-02-04,6.7426
2019-02-05,6.7426
2019-02-06,6.7426
2019-02-07,6.7426
2019-02-08,6.7426
2019-02-11,6.7907
2019-02-12,6.7726
2019-02-13,6.7598
2019-02-14,6.7711
2019-02-15,6.768
2019-02-18,
2019-02-19,6.756
2019-02-20,
2019-02-21,6.7195
2019-02-22,6.7112
2019-02-25,6.6844
2019-02-26,6.698
2019-02-27,6.6822
2019-02-28,6.6912
2019-03-01,6.7048
2019-03-04,6.7045
2019-03-05,6.706
2019-03-06,6.7099
2019-03-07,6.7132
2019-03-08,6.7201
2019-03-11,6.7215
2019-03-12,6.707
2019-03-13,6.7064
2019-03-14,6.7209
2019-03-15,6.7129
2019-03-18,6.7121
2019-03-19,6.7106
2019-03-20,6.6916
2019-03-21,6.6952
2019-03-22,6.7162
2019-03-25,6.7079
2019-03-26,6.7145
2019-03-27,6.7262
2019-03-28,6.7381
2019-03-29,6.7112
2019-04-01,6.7102
2019-04-02,6.7223
2019-04-03,6.7098
2019-04-04,6.7167
2019-04-05,6.7182
2019-04-08,6.7158
2019-04-09,6.7111
2019-04-10,6.7153
2019-04-11,6.7188
2019-04-12,6.7039
2019-04-15,6.7072
2019-04-16,6.7112
2019-04-17,6.687
2019-04-18,6.7081
2019-04-19,6.7032
2019-04-22,6.7112
2019-04-23,6.7249
2019-04-24,6.7207
2019-04-25,6.7418
2019-04-26,6.7282
2019-04-29,6.7332
2019-04-30,6.7347
2019-05-01,6.7319
2019-05-02,6.7337
2019-05-03,6.7337
2019-05-06,6.7602
2019-05-07,6.7755
2019-05-08,6.7818
2019-05-09,6.8256
2019-05-10,6.8217
2019-05-13,6.8765
2019-05-14,6.8737
2019-05-15,6.8742
2019-05-16,6.8832
2019-05-17,6.9182
2019-05-20,6.9111
2019-05-21,6.9007
2019-05-22,6.9054
2019-05-23,6.9087
2019-05-24,6.8997
2019-05-27,
2019-05-28,6.9078
2019-05-29,6.9138
2019-05-30,6.9011
2019-05-31,6.9027
2019-06-03,6.9028
2019-06-04,6.9072
2019-06-05,6.9084
2019-06-06,6.9082
2019-06-07,6.9057
2019-06-10,6.9298
2019-06-11,6.9107
2019-06-12,6.9161
2019-06-13,6.9212
2019-06-14,6.9247
2019-06-17,6.9251
2019-06-18,6.9002
2019-06-19,6.8996
2019-06-20,6.851
2019-06-21,6.8686
2019-06-24,6.8758
2019-06-25,6.8791
2019-06-26,6.8781
2019-06-27,6.8762
2019-06-28,6.865
2019-07-01,6.8487
2019-07-02,6.8717
2019-07-03,6.8806
2019-07-04,
2019-07-05,6.8925
2019-07-08,6.8808
2019-07-09,6.8866
2019-07-10,6.8705
2019-07-11,6.8682
2019-07-12,6.8796
2019-07-15,6.8769
2019-07-16,6.8753
2019-07-17,6.8731
2019-07-18,6.8788
2019-07-19,6.8812
2019-07-22,6.8803
2019-07-23,6.8787
2019-07-24,6.8717
2019-07-25,6.8714
2019-07-26,6.8785
2019-07-29,6.8927
2019-07-30,6.8833
2019-07-31,6.8833
2019-08-01,6.8972
2019-08-02,6.9387
2019-08-05,7.0481
2019-08-06,7.0192
2019-08-07,7.0592
2019-08-08,7.044
2019-08-09,7.0613
2019-08-12,7.0578
2019-08-13,7.0423
2019-08-14,7.0224
2019-08-15,7.0327
2019-08-16,7.0413
2019-08-19,7.0499
2019-08-20,7.0597
2019-08-21,7.0623
2019-08-22,7.0829
2019-08-23,7.0928
2019-08-26,7.1503
2019-08-27,7.1603
2019-08-28,7.1628
2019-08-29,7.1434
2019-08-30,7.1543
2019-09-02,
2019-09-03,7.1786
2019-09-04,7.144
2019-09-05,7.1468
2019-09-06,7.1131
2019-09-09,7.121
2019-09-10,7.1121
2019-09-11,7.1153
2019-09-12,7.0787
2019-09-13,7.0754
2019-09-16,7.0659
2019-09-17,7.0905
2019-09-18,7.0849
2019-09-19,7.0959
2019-09-20,7.0909
2019-09-23,7.1168
2019-09-24,7.1138
2019-09-25,7.1313
2019-09-26,7.13
2019-09-27,7.1218
2019-09-30,7.1477
2019-10-01,7.1473
2019-10-02,7.1473
2019-10-03,7.1473
2019-10-04,7.1473
2019-10-07,7.1473
2019-10-08,7.1422
2019-10-09,7.1316
2019-10-10,7.1153
2019-10-11,7.0868
2019-10-14,
2019-10-15,7.0814
2019-10-16,7.092
2019-10-17,7.0766
2019-10-18,7.0805
2019-10-21,7.0748
2019-10-22,7.0761
2019-10-23,7.0624
2019-10-24,7.0684
2019-10-25,7.0647
2019-10-28,7.067
2019-10-29,7.0655
2019-10-30,7.0541
2019-10-31,7.0379
2019-11-01,7.0368
2019-11-04,7.03
2019-11-05,7.0082
2019-11-06,6.9968
2019-11-07,6.9766
2019-11-08,6.9954
2019-11-11,
2019-11-12,7.0066
2019-11-13,7.0223
2019-11-14,7.0195
2019-11-15,7.0075
2019-11-18,7.0246
2019-11-19,7.0263
2019-11-20,7.0344
2019-11-21,7.0285
2019-11-22,7.0389
2019-11-25,7.0349
2019-11-26,7.0319
2019-11-27,7.028
2019-11-28,
2019-11-29,7.0308
2019-12-02,7.038
2019-12-03,7.0609
2019-12-04,7.0489
2019-12-05,7.0445
2019-12-06,7.0348
2019-12-09,7.0389
2019-12-10,7.0328
2019-12-11,7.0384
2019-12-12,6.9925
2019-12-13,6.9925
2019-12-16,6.9921
2019-12-17,6.9967
2019-12-18,7.0029
2019-12-19,7.0097
2019-12-20,7.0063
2019-12-23,7.0124
2019-12-24,7.0064
2019-12-25,
2019-12-26,6.9949
2019-12-27,6.9954
2019-12-30,6.9864
2019-12-31,6.9618
