,news_title,news_category,news_date,label,prob
0,"<유>삼아알미늄, 매수잔량 306% 급증",증권News봇,2021.03.30,positive,0.9998356103897095
1,"<유>삼아알미늄, 7.41% 오르며 체결강도 강세 지속(285%)",증권News봇,2021.03.30,positive,0.9998670816421509
2,"<유>삼아알미늄, 매수잔량 559% 급증",증권News봇,2021.03.10,positive,0.9998410940170288
3,"<유>삼아알미늄, 전일 대비 7.11% 상승.. 일일회전율은 1.97% 기록",증권News봇,2021.03.10,positive,0.9998432397842407
4,"<유>삼아알미늄, 6.60% 오르며 체결강도 강세 지속(241%)",증권News봇,2021.03.10,positive,0.9998691082000732
5,"<유>삼아알미늄, 매수잔량 655% 급증",증권News봇,2021.03.09,positive,0.9998326301574707
6,"<유>삼아알미늄, 전일 대비 7.46% 상승.. 일일회전율은 0.91% 기록",증권News봇,2021.02.25,positive,0.9998262524604797
7,"<유>삼아알미늄, 3.11% 오르며 체결강도 강세 지속(117%)",증권News봇,2021.02.15,positive,0.9998688697814941
8,"<유>삼아알미늄, 4.85% 오르며 체결강도 강세 지속(181%)",증권News봇,2021.02.03,positive,0.9998676776885986
9,"<유>삼아알미늄, 전일 대비 8.71% 상승.. 일일회전율은 9.55% 기록",증권News봇,2021.01.14,positive,0.9998095631599426
10,"<유>삼아알미늄, 현재가 6.81% 급등",증권News봇,2021.01.13,positive,0.9997772574424744
11,"<유>삼아알미늄, 전일 대비 9.43% 상승.. 일일회전율은 4.97% 기록",증권News봇,2021.01.07,positive,0.9998387098312378
12,"<유>삼아알미늄, 장중 신고가 돌파.. 12,900→13,750(▲850)",증권News봇,2021.01.04,positive,0.999880313873291
13,"<유>삼아알미늄, 전일 대비 9.96% 상승.. 일일회전율은 24.04% 기록",증권News봇,2021.01.04,positive,0.9998001456260681
