,news_title,news_category,news_date,label,prob
0,"<유>롯데케미칼, 3.02% 오르며 체결강도 강세 지속(253%)",증권News봇,2019.03.29,positive,0.9998716115951538
1,"주총 앞둔 기업들 ""신사업 추가요""",증권국내증시,2019.03.14,neutral,0.999880313873291
2,기업공시[3월 13일],증권종목·투자전략,2019.03.14,neutral,0.9998451471328735
3,장 마감 후 기업공시[3월 13일],증권종목·투자전략,2019.03.13,neutral,0.9998692274093628
4,"롯데지주, 1,404억원에 계열사 보유 롯데글로벌로지스 주식 771만주 취득",증권종목·투자전략,2019.03.13,positive,0.6441494226455688
5,"주총 앞둔 기업들 ""신사업 추가요""",증권종목·투자전략,2019.03.13,neutral,0.999880313873291
6,"롯데케미칼 ""출근할 때 청바지와 티셔츠도 OK""",산업기업,2019.03.04,neutral,0.9999022483825684
7,"모디 총리 '친롯데 행보'…辛, OPaL 인수 재추진하나",산업기업,2019.02.21,neutral,0.9994962215423584
8,"<유>롯데케미칼, 3.11% 오르며 체결강도 강세 지속(163%)",증권News봇,2019.02.20,positive,0.9998770952224731
9,유가 상승에 날개 펴는 정유·화학株,증권국내증시,2019.02.20,neutral,0.9589106440544128
10,유가 상승에 날개 펴는 정유·화학株,증권종목·투자전략,2019.02.19,neutral,0.9589106440544128
11,"<유>롯데케미칼, 매수잔량 488% 급증",증권News봇,2019.02.19,positive,0.9997209906578064
12,"<유>롯데케미칼, 3.04% 오르며 체결강도 강세 지속(189%)",증권News봇,2019.02.19,positive,0.9998705387115479
13,"<유>롯데케미칼, 4.89% 오르며 체결강도 강세 지속(170%)",증권News봇,2019.02.18,positive,0.9998750686645508
14,"<유>롯데케미칼, 5.06% 오르며 체결강도 강세 지속(204%)",증권News봇,2019.02.18,positive,0.9998711347579956
15,"<유>롯데케미칼, 4.22% 오르며 체결강도 강세 지속(235%)",증권News봇,2019.02.18,positive,0.9998794794082642
16,"<유>롯데케미칼, 5.10% 오르며 체결강도 강세 지속(200%)",증권News봇,2019.02.13,positive,0.9998757839202881
17,"<유>롯데케미칼, 4.22% 오르며 체결강도 강세 지속(182%)",증권News봇,2019.02.13,positive,0.9998797178268433
18,"<유>롯데케미칼, 4.04% 오르며 체결강도 강세 지속(199%)",증권News봇,2019.02.13,positive,0.9998724460601807
19,"롯데케미칼, 1분기부터 실적 개선 기대-KB",증권종목·투자전략,2019.02.13,positive,0.9998703002929688
20,[장 마감 후 업공시] 2월 12일,증권,2019.02.12,neutral,0.9998794794082642
21,"롯데케미칼, 작년 영업이익 1조9,686억원…전년比 33% 감소",증권,2019.02.12,negative,0.9998180270195007
22,"롯데케미칼, 1주당 1만500원 현금배당 결정",증권,2019.02.12,positive,0.9998764991760254
23,"무역분쟁에 직격탄 맞은 롯데케미칼.. 영업이익 1조9,685억원으로 32.8%↓",산업기업,2019.02.12,negative,0.9998214840888977
24,"롯데그룹, 火災피해 울산 도매시장 상인에 성금 2억 기탁",산업기업,2019.01.28,positive,0.9998041987419128
25,"<유>롯데케미칼, 3.47% 오르며 체결강도 강세 지속(156%)",증권News봇,2019.01.25,positive,0.9998778104782104
26,"<유>롯데케미칼, 3.29% 오르며 체결강도 강세 지속(165%)",증권News봇,2019.01.25,positive,0.9998778104782104
27,"<유>롯데케미칼, 3.91% 오르며 체결강도 강세 지속(206%)",증권News봇,2019.01.21,positive,0.9998743534088135
28,"<유>롯데케미칼, 3.91% 오르며 체결강도 강세 지속(207%)",증권News봇,2019.01.21,positive,0.9998737573623657
29,"<유>롯데케미칼, 3.55% 오르며 체결강도 강세 지속(208%)",증권News봇,2019.01.21,positive,0.9998757839202881
30,"롯데케미칼, 올해 실적 회복 전망-이베스트",증권종목·투자전략,2019.01.21,positive,0.967242419719696
31,롯데 '고부가 소재' 속도전,산업기업,2019.01.17,positive,0.5797386765480042
32,"롯데케미칼, 터키 고급 건자재 업체 1,250억원에 인수",증권국내증시,2019.01.17,positive,0.99982750415802
33,"<유>롯데케미칼, 3.17% 오르며 체결강도 강세 지속(235%)",증권News봇,2019.01.16,positive,0.9998778104782104
34,"<유>롯데케미칼, 3.02% 오르며 체결강도 강세 지속(191%)",증권News봇,2019.01.11,positive,0.9998736381530762
35,"롯데케미칼, 4분기 실적 컨센서스 밑돌 전망-현대차證",증권종목·투자전략,2019.01.10,negative,0.9994280934333801
36,"<유>롯데케미칼, 3.61% 오르며 체결강도 강세 지속(142%)",증권News봇,2019.01.09,positive,0.9998745918273926
37,"<유>롯데케미칼, 전일 대비 7.02% 상승.. 일일회전율은 0.54% 기록",증권News봇,2019.01.07,positive,0.9996192455291748
38,"<유>롯데케미칼, 6.63% 오르며 체결강도 강세 지속(202%)",증권News봇,2019.01.07,positive,0.9998785257339478
39,"<유>롯데케미칼, 6.04% 오르며 체결강도 강세 지속(189%)",증권News봇,2019.01.07,positive,0.9998737573623657
40,"<유>롯데케미칼, 6.04% 오르며 체결강도 강세 지속(185%)",증권News봇,2019.01.07,positive,0.9998736381530762
41,"임병연 ""도전의 시기…롯데케미칼 도약 이끌 것""",산업기업,2019.01.04,neutral,0.9997712969779968
42,롯데케미칼 4분기 실적 부진 전망에 하락세,증권종목·투자전략,2019.01.04,negative,0.9998164772987366
43,"오전 9:30 현재 코스피는 44:56으로 매수우위, 매수강세 업종은 종이목재업(0.60%↓)",증권News봇,2019.01.04,neutral,0.9839335083961487
44,"롯데케미칼 올해 수익성 상저하고, 목표주가 34만원 -KB증권",증권종목·투자전략,2019.01.04,positive,0.9998607635498047
45,"현대중공업지주 자회사 현대오일뱅크, 롯데케미칼·LG화학에 9,462억원 나프타 공급 계약",증권종목·투자전략,2019.01.03,positive,0.9998601675033569
