Date,VIXCLS
2019-01-01,
2019-01-02,23.22
2019-01-03,25.45
2019-01-04,21.38
2019-01-07,21.4
2019-01-08,20.47
2019-01-09,19.98
2019-01-10,19.5
2019-01-11,18.19
2019-01-14,19.07
2019-01-15,18.6
2019-01-16,19.04
2019-01-17,18.06
2019-01-18,17.8
2019-01-21,
2019-01-22,20.8
2019-01-23,19.52
2019-01-24,18.89
2019-01-25,17.42
2019-01-28,18.87
2019-01-29,19.13
2019-01-30,17.66
2019-01-31,16.57
2019-02-01,16.14
2019-02-04,15.73
2019-02-05,15.57
2019-02-06,15.38
2019-02-07,16.37
2019-02-08,15.72
2019-02-11,15.97
2019-02-12,15.43
2019-02-13,15.65
2019-02-14,16.22
2019-02-15,14.91
2019-02-18,
2019-02-19,14.88
2019-02-20,14.02
2019-02-21,14.46
2019-02-22,13.51
2019-02-25,14.85
2019-02-26,15.17
2019-02-27,14.7
2019-02-28,14.78
2019-03-01,13.57
2019-03-04,14.63
2019-03-05,14.74
2019-03-06,15.74
2019-03-07,16.59
2019-03-08,16.05
2019-03-11,14.33
2019-03-12,13.77
2019-03-13,13.41
2019-03-14,13.5
2019-03-15,12.88
2019-03-18,13.1
2019-03-19,13.56
2019-03-20,13.91
2019-03-21,13.63
2019-03-22,16.48
2019-03-25,16.33
2019-03-26,14.68
2019-03-27,15.15
2019-03-28,14.43
2019-03-29,13.71
2019-04-01,13.4
2019-04-02,13.36
2019-04-03,13.74
2019-04-04,13.58
2019-04-05,12.82
2019-04-08,13.18
2019-04-09,14.28
2019-04-10,13.3
2019-04-11,13.02
2019-04-12,12.01
2019-04-15,12.32
2019-04-16,12.18
2019-04-17,12.6
2019-04-18,12.09
2019-04-19,
2019-04-22,12.42
2019-04-23,12.28
2019-04-24,13.14
2019-04-25,13.25
2019-04-26,12.73
2019-04-29,13.11
2019-04-30,13.12
2019-05-01,14.8
2019-05-02,14.42
2019-05-03,12.87
2019-05-06,15.44
2019-05-07,19.32
2019-05-08,19.4
2019-05-09,19.1
2019-05-10,16.04
2019-05-13,20.55
2019-05-14,18.06
2019-05-15,16.44
2019-05-16,15.29
2019-05-17,15.96
2019-05-20,16.31
2019-05-21,14.95
2019-05-22,14.75
2019-05-23,16.92
2019-05-24,15.85
2019-05-27,
2019-05-28,17.5
2019-05-29,17.9
2019-05-30,17.3
2019-05-31,18.71
2019-06-03,18.86
2019-06-04,16.97
2019-06-05,16.09
2019-06-06,15.93
2019-06-07,16.3
2019-06-10,15.94
2019-06-11,15.99
2019-06-12,15.91
2019-06-13,15.82
2019-06-14,15.28
2019-06-17,15.35
2019-06-18,15.15
2019-06-19,14.33
2019-06-20,14.75
2019-06-21,15.4
2019-06-24,15.26
2019-06-25,16.28
2019-06-26,16.21
2019-06-27,15.82
2019-06-28,15.08
2019-07-01,14.06
2019-07-02,12.93
2019-07-03,12.57
2019-07-04,
2019-07-05,13.28
2019-07-08,13.96
2019-07-09,14.09
2019-07-10,13.03
2019-07-11,12.93
2019-07-12,12.39
2019-07-15,12.68
2019-07-16,12.86
2019-07-17,13.97
2019-07-18,13.53
2019-07-19,14.45
2019-07-22,13.53
2019-07-23,12.61
2019-07-24,12.07
2019-07-25,12.74
2019-07-26,12.16
2019-07-29,12.83
2019-07-30,13.94
2019-07-31,16.12
2019-08-01,17.87
2019-08-02,17.61
2019-08-05,24.59
2019-08-06,20.17
2019-08-07,19.49
2019-08-08,16.91
2019-08-09,17.97
2019-08-12,21.09
2019-08-13,17.52
2019-08-14,22.1
2019-08-15,21.18
2019-08-16,18.47
2019-08-19,16.88
2019-08-20,17.5
2019-08-21,15.8
2019-08-22,16.68
2019-08-23,19.87
2019-08-26,19.32
2019-08-27,20.31
2019-08-28,19.35
2019-08-29,17.88
2019-08-30,18.98
2019-09-02,
2019-09-03,19.66
2019-09-04,17.33
2019-09-05,16.27
2019-09-06,15.0
2019-09-09,15.27
2019-09-10,15.2
2019-09-11,14.61
2019-09-12,14.22
2019-09-13,13.74
2019-09-16,14.67
2019-09-17,14.44
2019-09-18,13.95
2019-09-19,14.05
2019-09-20,15.32
2019-09-23,14.91
2019-09-24,17.05
2019-09-25,15.96
2019-09-26,16.07
2019-09-27,17.22
2019-09-30,16.24
2019-10-01,18.56
2019-10-02,20.56
2019-10-03,19.12
2019-10-04,17.04
2019-10-07,17.86
2019-10-08,20.28
2019-10-09,18.64
2019-10-10,17.57
2019-10-11,15.58
2019-10-14,14.57
2019-10-15,13.54
2019-10-16,13.68
2019-10-17,13.79
2019-10-18,14.25
2019-10-21,14.0
2019-10-22,14.46
2019-10-23,14.01
2019-10-24,13.71
2019-10-25,12.65
2019-10-28,13.11
2019-10-29,13.2
2019-10-30,12.33
2019-10-31,13.22
