Date,VIXCLS
2023-01-02,
2023-01-03,22.9
2023-01-04,22.01
2023-01-05,22.46
2023-01-06,21.13
2023-01-09,21.97
2023-01-10,20.58
2023-01-11,21.09
2023-01-12,18.83
2023-01-13,18.35
2023-01-16,19.49
2023-01-17,19.36
2023-01-18,20.34
2023-01-19,20.52
2023-01-20,19.85
2023-01-23,19.81
2023-01-24,19.2
2023-01-25,19.08
2023-01-26,18.73
2023-01-27,18.51
2023-01-30,19.94
2023-01-31,19.4
2023-02-01,17.87
2023-02-02,18.73
2023-02-03,18.33
2023-02-06,19.43
2023-02-07,18.66
2023-02-08,19.63
2023-02-09,20.71
2023-02-10,20.53
2023-02-13,20.34
2023-02-14,18.91
2023-02-15,18.23
2023-02-16,20.17
2023-02-17,20.02
2023-02-20,21.23
2023-02-21,22.87
2023-02-22,22.29
2023-02-23,21.14
2023-02-24,21.67
2023-02-27,20.95
2023-02-28,20.7
2023-03-01,20.58
2023-03-02,19.59
2023-03-03,18.49
2023-03-06,18.61
2023-03-07,19.59
2023-03-08,19.11
2023-03-09,22.61
2023-03-10,24.8
2023-03-13,26.52
2023-03-14,23.73
2023-03-15,26.14
2023-03-16,22.99
2023-03-17,25.51
2023-03-20,24.15
2023-03-21,21.38
2023-03-22,22.26
2023-03-23,22.61
2023-03-24,21.74
2023-03-27,20.6
2023-03-28,19.97
2023-03-29,19.12
2023-03-30,19.02
2023-03-31,18.7
2023-04-03,18.55
2023-04-04,19.0
2023-04-05,19.08
2023-04-06,18.4
2023-04-07,
2023-04-10,18.97
2023-04-11,19.1
2023-04-12,19.09
2023-04-13,17.8
2023-04-14,17.07
2023-04-17,16.95
2023-04-18,16.83
2023-04-19,16.46
2023-04-20,17.17
2023-04-21,16.77
2023-04-24,16.89
2023-04-25,18.76
2023-04-26,18.84
2023-04-27,17.03
2023-04-28,15.78
2023-05-01,16.08
2023-05-02,17.78
2023-05-03,18.34
2023-05-04,20.09
2023-05-05,17.19
2023-05-08,16.98
2023-05-09,17.71
2023-05-10,16.94
2023-05-11,16.93
2023-05-12,17.03
2023-05-15,17.12
2023-05-16,17.99
2023-05-17,16.87
2023-05-18,16.05
2023-05-19,16.81
2023-05-22,17.21
2023-05-23,18.53
2023-05-24,20.03
2023-05-25,19.14
2023-05-26,17.95
2023-05-29,17.46
2023-05-30,17.46
2023-05-31,17.94
2023-06-01,15.65
2023-06-02,14.6
2023-06-05,14.73
2023-06-06,13.96
2023-06-07,13.94
2023-06-08,13.65
2023-06-09,13.83
2023-06-12,15.01
2023-06-13,14.61
2023-06-14,13.88
2023-06-15,14.5
2023-06-16,13.54
2023-06-19,14.19
2023-06-20,13.88
2023-06-21,13.2
2023-06-22,12.91
2023-06-23,13.44
2023-06-26,14.25
2023-06-27,13.74
2023-06-28,13.43
2023-06-29,13.54
2023-06-30,13.59
2023-07-03,13.57
2023-07-04,13.7
2023-07-05,14.18
2023-07-06,15.44
2023-07-07,14.83
2023-07-10,15.07
2023-07-11,14.84
2023-07-12,13.54
2023-07-13,13.61
2023-07-14,13.34
2023-07-17,13.48
2023-07-18,13.3
2023-07-19,13.76
2023-07-20,13.99
2023-07-21,13.6
2023-07-24,13.91
2023-07-25,13.86
2023-07-26,13.19
2023-07-27,14.41
2023-07-28,13.33
2023-07-31,13.63
2023-08-01,13.93
2023-08-02,16.09
2023-08-03,15.92
2023-08-04,17.1
2023-08-07,15.77
2023-08-08,15.99
2023-08-09,15.96
2023-08-10,15.85
2023-08-11,14.84
2023-08-14,14.82
2023-08-15,16.46
2023-08-16,16.78
2023-08-17,17.89
2023-08-18,17.3
2023-08-21,17.13
2023-08-22,16.97
2023-08-23,15.98
2023-08-24,17.2
2023-08-25,15.68
2023-08-28,15.08
2023-08-29,14.45
2023-08-30,13.88
2023-08-31,13.57
2023-09-01,13.09
2023-09-04,13.82
2023-09-05,14.01
2023-09-06,14.45
2023-09-07,14.4
2023-09-08,13.84
2023-09-11,13.8
2023-09-12,14.23
2023-09-13,13.48
2023-09-14,12.82
2023-09-15,13.79
2023-09-18,14.0
2023-09-19,14.11
2023-09-20,15.14
2023-09-21,17.54
2023-09-22,17.2
2023-09-25,16.9
2023-09-26,18.94
2023-09-27,18.22
2023-09-28,17.34
2023-09-29,17.52
2023-10-02,17.61
2023-10-03,19.78
2023-10-04,18.58
2023-10-05,18.49
2023-10-06,17.45
2023-10-09,17.7
2023-10-10,17.03
2023-10-11,16.09
2023-10-12,16.69
2023-10-13,19.32
2023-10-16,17.21
2023-10-17,17.88
2023-10-18,19.22
2023-10-19,21.4
2023-10-20,21.71
2023-10-23,20.37
2023-10-24,18.97
2023-10-25,20.19
2023-10-26,20.68
2023-10-27,21.27
2023-10-30,19.75
2023-10-31,18.14
2023-11-01,16.87
2023-11-02,15.66
2023-11-03,14.91
2023-11-06,14.89
2023-11-07,14.81
2023-11-08,14.45
2023-11-09,15.29
2023-11-10,14.17
2023-11-13,14.76
2023-11-14,14.16
2023-11-15,14.18
2023-11-16,14.32
2023-11-17,13.8
2023-11-20,13.41
2023-11-21,13.35
2023-11-22,12.85
2023-11-23,12.8
2023-11-24,12.46
2023-11-27,12.69
2023-11-28,12.69
2023-11-29,12.98
2023-11-30,12.92
2023-12-01,12.63
2023-12-04,13.08
2023-12-05,12.85
2023-12-06,12.97
2023-12-07,13.06
2023-12-08,12.35
2023-12-11,12.63
2023-12-12,12.07
2023-12-13,12.19
2023-12-14,12.48
2023-12-15,12.28
2023-12-18,12.56
2023-12-19,12.53
2023-12-20,13.67
2023-12-21,13.65
2023-12-22,13.03
2023-12-25,
2023-12-26,12.99
2023-12-27,12.43
2023-12-28,12.47
2023-12-29,12.45
