Date,LRHUTTTTJPM156S
2019-01-01,2.5
2019-02-01,2.4
2019-03-01,2.5
2019-04-01,2.4
2019-05-01,2.3
2019-06-01,2.3
2019-07-01,2.3
2019-08-01,2.3
2019-09-01,2.4
2019-10-01,2.4
2019-11-01,2.3
2019-12-01,2.2
