,news_title,news_category,news_date,label,prob
0,"[데이터로 보는 증시]삼성전자, 기관·외국인 코스피 순매수 1위(3월 31일-최종치)",증권종목·투자전략,2023.03.31,neutral,0.9588490724563599
1,"<유>KT, 매수잔량 677% 급증",증권News봇,2023.03.31,positive,0.9997476935386658
2,"KT 이사회도 파행…박종욱 ""정상화 속도""",산업IT,2023.03.31,neutral,0.8755753636360168
3,"KT 최대주주 국민연금, 표현명 사외이사 선임 또 반대…주총서 퇴진하나",증권정책,2023.03.31,neutral,0.9995279312133789
4,"국정원 ""北, 이니세이프 취약점 악용 해킹…보안패치 권고""",정치국회·정당·정책,2023.03.30,negative,0.9995112419128418
5,"[데이터로 보는 증시]SK하이닉스· 삼성전자, 기관·외국인 코스피 순매수 1위(3월 30일-최종치)",증권종목·투자전략,2023.03.30,neutral,0.9979420304298401
6,"[특징주] CEO 선임 시끄러운 KT, 52주 신저가",증권국내증시,2023.03.30,negative,0.9996777772903442
7,"<유>KT, 장중 신저가 기록.. 29,000→28,950(▼50)",증권News봇,2023.03.30,negative,0.9997757077217102
8,"<유>KT, 장중 신저가 기록.. 29,150→29,000(▼150)",증권News봇,2023.03.29,negative,0.9997746348381042
9,구현모 KT대표 사의 표명…박종욱 대표 직대 체제로,산업IT,2023.03.28,neutral,0.9991418123245239
10,"“KT, 상반기 내 CEO 선임 어려워져…목표가 하향”",증권국내증시,2023.03.28,negative,0.9980751276016235
11,윤경림마저 끝내 사퇴… KT '경영 공백',산업IT,2023.03.27,negative,0.9996527433395386
12,[데이터로 보는 증시]SK하이닉스·삼성전자 기관·외국인 주간 코스피 순매수 1위(3월 20일~24일),증권종목·투자전략,2023.03.26,neutral,0.9998332262039185
13,"KT, 디지털브리지 발판 삼고 해외 진출 속도",산업IT,2023.03.24,positive,0.9998637437820435
14,"[목표가 UP&DOWN] 삼화콘덴서, 역대 최대 실적 전망에 목표가 21%↑",증권국내증시,2023.03.24,positive,0.9983543157577515
15,정치권 압박에 결국 '백기'…KT 경영공백 현실화 될 듯,산업IT,2023.03.23,negative,0.9998047947883606
16,"24~110GB 구간 촘촘히 설계…이종호 ""통신비 부담 완화 기대""",산업IT,2023.03.23,neutral,0.6020625829696655
17,"[데이터로 보는 증시]SK하이닉스·NAVER, 기관·외국인 코스피 순매수 1위(3월 20일)",증권종목·투자전략,2023.03.20,neutral,0.9998741149902344
18,"""해외서 걱정없게""…KT, 로밍 데이터 더 준다",산업IT,2023.03.16,neutral,0.9986664056777954
19,900조 국민연금 의결권 쥔 2기 수책위 뜬다,증권국내증시,2023.03.15,neutral,0.9998904466629028
20,경기 침체 공포에도 네이버가 투자한 스타트업은?,산업산업일반,2023.03.15,neutral,0.9224128723144531
21,"[데이터로 보는 증시]삼성바이오로직스·카카오페이, 기관·외국인 코스피 순매수 1위(3월 14일)",증권종목·투자전략,2023.03.14,neutral,0.9998717308044434
22,"국민연금, 깐깐해진 주총 의결권 행사에 봄바람 불까",경제·금융경제·금융일반,2023.03.14,neutral,0.9999188184738159
23,삼성·KT·지니뮤직 '울트라 콘서트' 개최…갤S23 울트라 고객 초대,산업IT,2023.03.14,neutral,0.9998788833618164
24,KT 자율주행로봇 글램핑장 누빈다,산업IT,2023.03.14,positive,0.6743289828300476
