Date,DEXCHUS
2020-01-01,
2020-01-02,6.9642
2020-01-03,6.9649
2020-01-06,6.9749
2020-01-07,6.9443
2020-01-08,6.9447
2020-01-09,6.9309
2020-01-10,6.9178
2020-01-13,6.8924
2020-01-14,6.8837
2020-01-15,6.8899
2020-01-16,6.8769
2020-01-17,6.8589
2020-01-20,
2020-01-21,6.9049
2020-01-22,6.904
2020-01-23,6.9364
2020-01-24,6.9161
2020-01-27,6.9161
2020-01-28,6.9161
2020-01-29,6.9161
2020-01-30,6.9161
2020-01-31,6.9161
2020-02-03,7.0208
2020-02-04,6.9979
2020-02-05,6.972
2020-02-06,6.9694
2020-02-07,7.0003
2020-02-10,6.982
2020-02-11,6.965
2020-02-12,6.9708
2020-02-13,6.9759
2020-02-14,6.9859
2020-02-17,
2020-02-18,6.9949
2020-02-19,6.9975
2020-02-20,7.0225
2020-02-21,7.0255
2020-02-24,7.0286
2020-02-25,7.0128
2020-02-26,7.0214
2020-02-27,7.0036
2020-02-28,6.9906
2020-03-02,6.9595
2020-03-03,6.9579
2020-03-04,6.9244
2020-03-05,6.9366
2020-03-06,6.9298
2020-03-09,6.9448
2020-03-10,6.9549
2020-03-11,6.9595
2020-03-12,7.0282
2020-03-13,7.0079
2020-03-16,6.9913
2020-03-17,7.003
2020-03-18,7.0459
2020-03-19,7.1058
2020-03-20,7.095
2020-03-23,7.09
2020-03-24,7.061
2020-03-25,7.1099
2020-03-26,7.0709
2020-03-27,7.0942
2020-03-30,7.0986
2020-03-31,7.0808
2020-04-01,7.0989
2020-04-02,7.0857
2020-04-03,7.0908
2020-04-06,7.0895
2020-04-07,7.0448
2020-04-08,7.0649
2020-04-09,7.0428
2020-04-10,7.0341
2020-04-13,7.0501
2020-04-14,7.0479
2020-04-15,7.0664
2020-04-16,7.0778
2020-04-17,7.0711
2020-04-20,7.0721
2020-04-21,7.0914
2020-04-22,7.0831
2020-04-23,7.0654
2020-04-24,7.0813
2020-04-27,7.0848
2020-04-28,7.0776
2020-04-29,7.0755
2020-04-30,7.0622
2020-05-01,7.0622
2020-05-04,7.0622
2020-05-05,7.0622
2020-05-06,7.1031
2020-05-07,7.0825
2020-05-08,7.0732
2020-05-11,7.0972
2020-05-12,7.0816
2020-05-13,7.0911
2020-05-14,7.0935
2020-05-15,7.1013
2020-05-18,7.1086
2020-05-19,7.098
2020-05-20,7.0928
2020-05-21,7.1138
2020-05-22,7.1269
2020-05-25,
2020-05-26,7.134
2020-05-27,7.1681
2020-05-28,7.1447
2020-05-29,7.1348
2020-06-01,7.1263
2020-06-02,7.0992
2020-06-03,7.1115
2020-06-04,7.1075
2020-06-05,7.0808
2020-06-08,7.07
2020-06-09,7.0765
2020-06-10,7.0599
2020-06-11,7.064
2020-06-12,7.0825
2020-06-15,7.0887
2020-06-16,7.0854
2020-06-17,7.084
2020-06-18,7.0869
2020-06-19,7.0707
2020-06-22,7.0678
2020-06-23,7.0575
2020-06-24,7.077
2020-06-25,7.0768
2020-06-26,7.0768
2020-06-29,7.0794
2020-06-30,7.0651
2020-07-01,7.0703
2020-07-02,7.066
2020-07-03,
2020-07-06,7.0159
2020-07-07,7.0127
2020-07-08,7.0041
