투자자구분,매도,매수,순매수
금융투자,58502024400,131714551600,73212527200
보험,3156468100,904381300,-2252086800
투신,33874435000,15144213000,-18730222000
사모,32432916300,3294727000,-29138189300
은행,927200400,1301888900,374688500
기타금융,2748164900,8506400,-2739658500
연기금 등,422473046600,441240540100,18767493500
기관합계,554114255700,593608808300,39494552600
기타법인,1912876100,5593030700,3680154600
개인,156244606000,222712309400,66467703400
외국인,350038430605,240504176905,-109534253700
기타외국인,489717400,381560500,-108156900
전체,1062799885805,1062799885805,0
