투자자구분,매도,매수,순매수
금융투자,207026611800,199539142500,-7487469300
보험,4177088200,821957400,-3355130800
투신,13825691100,19286840500,5461149400
사모,9335409000,12169046700,2833637700
은행,0,615003000,615003000
기타금융,23042800,2128400,-20914400
연기금 등,484444055800,480262122500,-4181933300
기관합계,718831898700,712696241000,-6135657700
기타법인,6958886500,2906549900,-4052336600
개인,139265177000,183651648600,44386471600
외국인,444674587100,410280447000,-34394140100
기타외국인,242561100,438223900,195662800
전체,1309973110400,1309973110400,0
