rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,ord,currency,thstrm_add_amount,연결구분,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount
20190618000144,11013,2019,01316245,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 2 기 1분기말,2123638729515,제 1 기말,1492635018021,1,KRW,,연결,,,
20190618000144,11013,2019,01316245,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 2 기 1분기말,65727178866,제 1 기말,40977456803,2,KRW,,연결,,,
20190618000144,11013,2019,01316245,BS,재무상태표,ifrs_TradeAndOtherCurrentReceivables,매출채권 및 기타채권,-,제 2 기 1분기말,893584567208,제 1 기말,772662388494,3,KRW,,연결,,,
20190618000144,11013,2019,01316245,BS,재무상태표,-표준계정코드 미사용-,미청구공사,-,제 2 기 1분기말,282705569024,제 1 기말,248881229761,4,KRW,,연결,,,
20190618000144,11013,2019,01316245,BS,재무상태표,ifrs_OtherCurrentFinancialAssets,기타금융자산,-,제 2 기 1분기말,390325804854,제 1 기말,7734433531,5,KRW,,연결,,,
20190618000144,11013,2019,01316245,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 2 기 1분기말,133041351930,제 1 기말,88356863738,6,KRW,,연결,,,
20190618000144,11013,2019,01316245,BS,재무상태표,ifrs_Inventories,재고자산,-,제 2 기 1분기말,356754736031,제 1 기말,332744153717,7,KRW,,연결,,,
20190618000144,11013,2019,01316245,BS,재무상태표,ifrs_CurrentTaxAssets,당기법인세자산,-,제 2 기 1분기말,1499521602,제 1 기말,1278491977,8,KRW,,연결,,,
20190618000144,11013,2019,01316245,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 2 기 1분기말,2016086072471,제 1 기말,1939876534956,9,KRW,,연결,,,
20190618000144,11013,2019,01316245,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,장기매출채권 및 기타채권,-,제 2 기 1분기말,503804097184,제 1 기말,484725487796,10,KRW,,연결,,,
20190618000144,11013,2019,01316245,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 2 기 1분기말,1093479383723,제 1 기말,1077626554915,11,KRW,,연결,,,
20190618000144,11013,2019,01316245,BS,재무상태표,ifrs_InvestmentProperty,투자부동산,-,제 2 기 1분기말,143782187726,제 1 기말,143815017990,12,KRW,,연결,,,
20190618000144,11013,2019,01316245,BS,재무상태표,ifrs_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 2 기 1분기말,175755041227,제 1 기말,12726653965,13,KRW,,연결,,,
20190618000144,11013,2019,01316245,BS,재무상태표,ifrs_OtherNoncurrentFinancialAssets,기타비유동금융자산,-,제 2 기 1분기말,34336862258,제 1 기말,155195335765,14,KRW,,연결,,,
20190618000144,11013,2019,01316245,BS,재무상태표,dart_OtherNonCurrentAssets,기타비유동자산,-,제 2 기 1분기말,4536687179,제 1 기말,3379267520,15,KRW,,연결,,,
20190618000144,11013,2019,01316245,BS,재무상태표,ifrs_DeferredTaxAssets,이연법인세자산,-,제 2 기 1분기말,60391813174,제 1 기말,62408217005,16,KRW,,연결,,,
20190618000144,11013,2019,01316245,BS,재무상태표,ifrs_Assets,자산총계,-,제 2 기 1분기말,4139724801986,제 1 기말,3432511552977,17,KRW,,연결,,,
20190618000144,11013,2019,01316245,BS,재무상태표,ifrs_CurrentLiabilities,유동부채,-,제 2 기 1분기말,2523278507944,제 1 기말,1999317157710,19,KRW,,연결,,,
20190618000144,11013,2019,01316245,BS,재무상태표,ifrs_TradeAndOtherCurrentPayables,매입채무 및 기타채무,-,제 2 기 1분기말,979467392357,제 1 기말,814934650246,20,KRW,,연결,,,
20190618000144,11013,2019,01316245,BS,재무상태표,-표준계정코드 미사용-,초과청구공사,-,제 2 기 1분기말,219350068988,제 1 기말,254739570870,21,KRW,,연결,,,
20190618000144,11013,2019,01316245,BS,재무상태표,ifrs_ShorttermBorrowings,차입금,-,제 2 기 1분기말,1128728097167,제 1 기말,746738897302,22,KRW,,연결,,,
20190618000144,11013,2019,01316245,BS,재무상태표,ifrs_OtherCurrentFinancialLiabilities,기타금융부채,-,제 2 기 1분기말,4792117131,제 1 기말,2570410202,23,KRW,,연결,,,
20190618000144,11013,2019,01316245,BS,재무상태표,ifrs_CurrentTaxLiabilities,당기법인세부채,-,제 2 기 1분기말,2729396432,제 1 기말,20055456380,24,KRW,,연결,,,
20190618000144,11013,2019,01316245,BS,재무상태표,dart_OtherCurrentLiabilities,기타유동부채,-,제 2 기 1분기말,188211435869,제 1 기말,160278172710,25,KRW,,연결,,,
20190618000144,11013,2019,01316245,BS,재무상태표,ifrs_NoncurrentLiabilities,비유동부채,-,제 2 기 1분기말,626842613689,제 1 기말,528483316284,26,KRW,,연결,,,
20190618000144,11013,2019,01316245,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentPayables,장기매입채무 및 기타채무,-,제 2 기 1분기말,126753104645,제 1 기말,125456904325,27,KRW,,연결,,,
20190618000144,11013,2019,01316245,BS,재무상태표,dart_LongTermBorrowingsGross,장기차입금,-,제 2 기 1분기말,318845400308,제 1 기말,314057207857,28,KRW,,연결,,,
20190618000144,11013,2019,01316245,BS,재무상태표,ifrs_OtherNoncurrentFinancialLiabilities,기타비유동금융부채,-,제 2 기 1분기말,9658289333,제 1 기말,1106386611,29,KRW,,연결,,,
20190618000144,11013,2019,01316245,BS,재무상태표,dart_PostemploymentBenefitObligations,순확정급여부채,-,제 2 기 1분기말,22026381994,제 1 기말,4196883487,30,KRW,,연결,,,
20190618000144,11013,2019,01316245,BS,재무상태표,ifrs_DeferredTaxLiabilities,이연법인세부채,-,제 2 기 1분기말,22123951205,제 1 기말,0,31,KRW,,연결,,,
20190618000144,11013,2019,01316245,BS,재무상태표,dart_OtherNonCurrentLiabilities,기타비유동부채,-,제 2 기 1분기말,127435486204,제 1 기말,83665934004,32,KRW,,연결,,,
20190618000144,11013,2019,01316245,BS,재무상태표,ifrs_Liabilities,부채총계,-,제 2 기 1분기말,3150121121633,제 1 기말,2527800473994,33,KRW,,연결,,,
20190618000144,11013,2019,01316245,BS,재무상태표,ifrs_EquityAttributableToOwnersOfParent,지배기업의 소유주지분,-,제 2 기 1분기말,908038459028,제 1 기말,904517045623,35,KRW,,연결,,,
20190618000144,11013,2019,01316245,BS,재무상태표,ifrs_IssuedCapital,자본금,-,제 2 기 1분기말,46622740000,제 1 기말,46622740000,36,KRW,,연결,,,
20190618000144,11013,2019,01316245,BS,재무상태표,ifrs_SharePremium,주식발행초과금,-,제 2 기 1분기말,908686987240,제 1 기말,908732724016,37,KRW,,연결,,,
20190618000144,11013,2019,01316245,BS,재무상태표,ifrs_RetainedEarnings,이익잉여금(결손금),-,제 2 기 1분기말,76596232,제 1 기말,-3638673378,38,KRW,,연결,,,
20190618000144,11013,2019,01316245,BS,재무상태표,dart_ElementsOfOtherStockholdersEquity,기타자본구성요소,-,제 2 기 1분기말,-47347864444,제 1 기말,-47199745015,39,KRW,,연결,,,
20190618000144,11013,2019,01316245,BS,재무상태표,ifrs_NoncontrollingInterests,비지배지분,-,제 2 기 1분기말,81565221325,제 1 기말,194033360,40,KRW,,연결,,,
20190618000144,11013,2019,01316245,BS,재무상태표,ifrs_Equity,당기말,-,제 2 기 1분기말,989603680353,제 1 기말,904711078983,41,KRW,,연결,,,
20190618000144,11013,2019,01316245,BS,재무상태표,ifrs_EquityAndLiabilities,자본과부채총계,-,제 2 기 1분기말,4139724801986,제 1 기말,3432511552977,42,KRW,,연결,,,
20190618000144,11013,2019,01316245,CIS,포괄손익계산서,ifrs_Revenue,매출액,-,제 2 기 1분기,945767380766,,,0,KRW,945767380766,연결,,,
20190618000144,11013,2019,01316245,CIS,포괄손익계산서,ifrs_CostOfSales,매출원가,-,제 2 기 1분기,852318435498,,,1,KRW,852318435498,연결,,,
20190618000144,11013,2019,01316245,CIS,포괄손익계산서,ifrs_GrossProfit,매출총이익,-,제 2 기 1분기,93448945268,,,2,KRW,93448945268,연결,,,
20190618000144,11013,2019,01316245,CIS,포괄손익계산서,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,-,제 2 기 1분기,62065899869,,,3,KRW,62065899869,연결,,,
20190618000144,11013,2019,01316245,CIS,포괄손익계산서,-표준계정코드 미사용-,연구개발비,-,제 2 기 1분기,9686978238,,,4,KRW,9686978238,연결,,,
20190618000144,11013,2019,01316245,CIS,포괄손익계산서,dart_OperatingIncomeLoss,영업이익(손실),-,제 2 기 1분기,21696067161,,,5,KRW,21696067161,연결,,,
20190618000144,11013,2019,01316245,CIS,포괄손익계산서,dart_OtherGains,기타수익,-,제 2 기 1분기,7184349710,,,6,KRW,7184349710,연결,,,
20190618000144,11013,2019,01316245,CIS,포괄손익계산서,dart_OtherLosses,기타비용,-,제 2 기 1분기,2345099700,,,7,KRW,2345099700,연결,,,
20190618000144,11013,2019,01316245,CIS,포괄손익계산서,ifrs_FinanceIncome,금융수익,-,제 2 기 1분기,13904874580,,,8,KRW,13904874580,연결,,,
20190618000144,11013,2019,01316245,CIS,포괄손익계산서,ifrs_FinanceCosts,금융비용,-,제 2 기 1분기,26197178860,,,9,KRW,26197178860,연결,,,
20190618000144,11013,2019,01316245,CIS,포괄손익계산서,ifrs_ProfitLossBeforeTax,법인세비용차감전순이익(손실),-,제 2 기 1분기,14243012891,,,10,KRW,14243012891,연결,,,
20190618000144,11013,2019,01316245,CIS,포괄손익계산서,ifrs_IncomeTaxExpenseContinuingOperations,법인세비용,-,제 2 기 1분기,8864858012,,,11,KRW,8864858012,연결,,,
20190618000144,11013,2019,01316245,CIS,포괄손익계산서,ifrs_ProfitLoss,당기순이익(손실),-,제 2 기 1분기,5378154879,,,12,KRW,5378154879,연결,,,
20190618000144,11013,2019,01316245,CIS,포괄손익계산서,-표준계정코드 미사용-,지배회사지분순이익,-,제 2 기 1분기,4022419895,,,13,KRW,4022419895,연결,,,
20190618000144,11013,2019,01316245,CIS,포괄손익계산서,-표준계정코드 미사용-,비지배지분순이익,-,제 2 기 1분기,1355734984,,,14,KRW,1355734984,연결,,,
20190618000144,11013,2019,01316245,CIS,포괄손익계산서,ifrs_BasicEarningsLossPerShare,기본주당이익(손실),-,제 2 기 1분기,432,,,16,KRW,432,연결,,,
20190618000144,11013,2019,01316245,CIS,포괄손익계산서,ifrs_OtherComprehensiveIncome,기타포괄손익,-,제 2 기 1분기,-454936564,,,17,KRW,-454936564,연결,,,
