Date,VIXCLS
2020-01-01,
2020-01-02,12.47
2020-01-03,14.02
2020-01-06,13.85
2020-01-07,13.79
2020-01-08,13.45
2020-01-09,12.54
2020-01-10,12.56
2020-01-13,12.32
2020-01-14,12.39
2020-01-15,12.42
2020-01-16,12.32
2020-01-17,12.1
2020-01-20,
2020-01-21,12.85
2020-01-22,12.91
2020-01-23,12.98
2020-01-24,14.56
2020-01-27,18.23
2020-01-28,16.28
2020-01-29,16.39
2020-01-30,15.49
2020-01-31,18.84
2020-02-03,17.97
2020-02-04,16.05
2020-02-05,15.15
2020-02-06,14.96
2020-02-07,15.47
2020-02-10,15.04
2020-02-11,15.18
2020-02-12,13.74
2020-02-13,14.15
2020-02-14,13.68
2020-02-17,
2020-02-18,14.83
2020-02-19,14.38
2020-02-20,15.56
2020-02-21,17.08
2020-02-24,25.03
2020-02-25,27.85
2020-02-26,27.56
2020-02-27,39.16
2020-02-28,40.11
2020-03-02,33.42
2020-03-03,36.82
2020-03-04,31.99
2020-03-05,39.62
2020-03-06,41.94
2020-03-09,54.46
2020-03-10,47.3
2020-03-11,53.9
2020-03-12,75.47
2020-03-13,57.83
2020-03-16,82.69
2020-03-17,75.91
2020-03-18,76.45
2020-03-19,72.0
2020-03-20,66.04
2020-03-23,61.59
2020-03-24,61.67
2020-03-25,63.95
2020-03-26,61.0
2020-03-27,65.54
2020-03-30,57.08
2020-03-31,53.54
2020-04-01,57.06
2020-04-02,50.91
2020-04-03,46.8
2020-04-06,45.24
2020-04-07,46.7
2020-04-08,43.35
2020-04-09,41.67
2020-04-10,
2020-04-13,41.17
2020-04-14,37.76
2020-04-15,40.84
2020-04-16,40.11
2020-04-17,38.15
2020-04-20,43.83
2020-04-21,45.41
2020-04-22,41.98
2020-04-23,41.38
2020-04-24,35.93
2020-04-27,33.29
2020-04-28,33.57
2020-04-29,31.23
2020-04-30,34.15
2020-05-01,37.19
2020-05-04,35.97
2020-05-05,33.61
2020-05-06,34.12
2020-05-07,31.44
2020-05-08,27.98
2020-05-11,27.57
2020-05-12,33.04
2020-05-13,35.28
2020-05-14,32.61
2020-05-15,31.89
2020-05-18,29.3
2020-05-19,30.53
2020-05-20,27.99
2020-05-21,29.53
2020-05-22,28.16
2020-05-25,
2020-05-26,28.01
2020-05-27,27.62
2020-05-28,28.59
2020-05-29,27.51
2020-06-01,28.23
2020-06-02,26.84
2020-06-03,25.66
2020-06-04,25.81
2020-06-05,24.52
2020-06-08,25.81
2020-06-09,27.57
2020-06-10,27.57
2020-06-11,40.79
2020-06-12,36.09
2020-06-15,34.4
2020-06-16,33.67
2020-06-17,33.47
2020-06-18,32.94
2020-06-19,35.12
2020-06-22,31.77
2020-06-23,31.37
2020-06-24,33.84
2020-06-25,32.22
2020-06-26,34.73
2020-06-29,31.78
2020-06-30,30.43
2020-07-01,28.62
2020-07-02,27.68
2020-07-03,
2020-07-06,27.94
2020-07-07,29.43
2020-07-08,28.08
2020-07-09,29.26
2020-07-10,27.29
2020-07-13,32.19
2020-07-14,29.52
2020-07-15,27.76
2020-07-16,28.0
2020-07-17,25.68
2020-07-20,24.46
2020-07-21,24.84
2020-07-22,24.32
2020-07-23,26.08
2020-07-24,25.84
2020-07-27,24.74
2020-07-28,25.44
2020-07-29,24.1
2020-07-30,24.76
2020-07-31,24.46
2020-08-03,24.28
2020-08-04,23.76
2020-08-05,22.99
2020-08-06,22.65
2020-08-07,22.21
2020-08-10,22.13
2020-08-11,24.03
2020-08-12,22.28
2020-08-13,22.13
2020-08-14,22.05
2020-08-17,21.35
2020-08-18,21.51
2020-08-19,22.54
2020-08-20,22.72
2020-08-21,22.54
2020-08-24,22.37
2020-08-25,22.03
2020-08-26,23.27
2020-08-27,24.47
2020-08-28,22.96
2020-08-31,26.41
2020-09-01,26.12
2020-09-02,26.57
2020-09-03,33.6
2020-09-04,30.75
2020-09-07,
2020-09-08,31.46
2020-09-09,28.81
2020-09-10,29.71
2020-09-11,26.87
2020-09-14,25.85
2020-09-15,25.59
2020-09-16,26.04
2020-09-17,26.46
2020-09-18,25.83
2020-09-21,27.78
2020-09-22,26.86
2020-09-23,28.58
2020-09-24,28.51
2020-09-25,26.38
2020-09-28,26.19
2020-09-29,26.27
2020-09-30,26.37
2020-10-01,26.7
2020-10-02,27.63
2020-10-05,27.96
2020-10-06,29.48
2020-10-07,28.06
2020-10-08,26.36
2020-10-09,25.0
2020-10-12,25.07
2020-10-13,26.07
2020-10-14,26.4
2020-10-15,26.97
2020-10-16,27.41
2020-10-19,29.18
2020-10-20,29.35
2020-10-21,28.65
2020-10-22,28.11
2020-10-23,27.55
2020-10-26,32.46
2020-10-27,33.35
2020-10-28,40.28
2020-10-29,37.59
2020-10-30,38.02
2020-11-02,37.13
2020-11-03,35.55
2020-11-04,29.57
2020-11-05,27.58
2020-11-06,24.86
2020-11-09,25.75
2020-11-10,24.8
2020-11-11,23.45
2020-11-12,25.35
2020-11-13,23.1
2020-11-16,22.45
2020-11-17,22.71
2020-11-18,23.84
2020-11-19,23.11
2020-11-20,23.7
2020-11-23,22.66
2020-11-24,21.64
2020-11-25,21.25
2020-11-26,
2020-11-27,20.84
2020-11-30,20.57
2020-12-01,20.77
2020-12-02,21.17
2020-12-03,21.28
2020-12-04,20.79
2020-12-07,21.3
2020-12-08,20.68
2020-12-09,22.27
2020-12-10,22.52
2020-12-11,23.31
2020-12-14,24.72
2020-12-15,22.89
2020-12-16,22.5
2020-12-17,21.93
2020-12-18,21.57
2020-12-21,25.16
2020-12-22,24.23
2020-12-23,23.31
2020-12-24,21.53
2020-12-25,
2020-12-28,21.7
2020-12-29,23.08
2020-12-30,22.77
2020-12-31,22.75
